n_have_shirked,n_have_shirked_or_neg_NPV,n_first_best_closures,n_capital_requirements_closure,n_first_best_balanced_closures_under_shock,n_first_best_prudent_closures_under_shock,n_capital_requirements_balanced_closures_under_shock,n_capital_requirements_prudent_closures_under_shock,n_have_shirked_post_shock,n_have_shirked_or_neg_NPV_post_shock,n_first_best_closures_post_shock,n_capital_requirements_closures_post_shock
8,17,4,0,11,33,0,0,21,47,23,1
19,23,9,0,5,23,0,0,8,21,23,0
11,15,10,0,8,22,0,0,10,19,17,2
18,29,10,0,10,28,0,0,14,17,22,0
16,22,11,0,8,27,0,0,14,24,20,1
14,19,8,0,9,30,0,0,10,22,23,1
13,20,8,1,9,19,0,0,13,14,18,2
12,21,5,1,10,27,0,0,11,26,20,0
13,16,6,0,4,22,0,0,11,20,19,0
23,27,18,0,3,20,0,0,13,24,20,3
13,18,9,0,12,29,0,0,12,24,21,1
16,21,11,0,6,23,0,0,8,17,19,3
14,22,8,0,8,32,0,0,17,51,20,3
19,21,12,0,3,19,0,0,5,16,14,2
9,21,8,0,9,24,0,0,14,46,15,0
17,31,12,1,8,25,0,0,9,21,20,3
18,23,12,0,5,17,0,0,12,22,17,3
17,22,10,0,9,31,0,0,14,23,23,2
7,13,2,0,11,27,0,0,14,18,21,0
16,24,8,0,11,26,0,0,10,16,23,1
7,11,3,0,8,29,0,0,18,49,21,4
13,22,9,0,9,22,0,0,14,27,28,1
12,18,8,0,9,23,0,0,11,20,20,1
8,11,5,0,7,23,0,0,10,39,11,1
17,21,14,0,10,29,0,0,11,24,19,2
16,25,8,0,13,31,0,0,17,20,28,1
16,25,10,0,8,30,0,0,12,23,23,2
11,16,7,0,8,23,0,0,11,19,16,1
13,19,10,0,6,20,0,0,11,19,20,2
16,26,14,0,9,23,0,0,15,18,20,2
11,16,6,0,7,23,0,0,13,29,24,1
13,15,6,0,7,26,0,0,11,18,18,2
12,23,6,0,10,32,0,0,16,31,30,1
18,23,12,0,12,24,0,0,13,20,25,3
14,21,6,0,11,26,0,0,17,23,29,2
13,20,8,0,10,23,0,0,19,49,20,3
9,15,7,0,9,24,0,0,16,21,22,3
15,24,10,0,7,24,0,0,16,53,18,3
19,30,11,0,15,31,0,0,18,23,31,2
22,29,17,0,6,26,0,0,15,17,22,3
10,12,7,0,6,23,0,0,14,51,15,2
16,25,13,0,12,29,0,0,15,19,20,2
9,13,7,0,4,17,0,0,7,17,13,0
19,29,13,0,11,28,0,0,11,47,15,3
16,23,11,0,11,29,0,0,12,28,23,2
19,23,9,1,11,26,0,0,12,22,24,2
13,17,9,0,4,16,0,0,5,13,8,1
10,16,7,0,5,25,0,0,9,20,14,0
15,19,11,0,9,25,0,0,17,25,26,3
11,16,10,0,5,17,0,0,5,10,11,2
15,18,13,1,11,24,0,0,15,46,17,1
11,14,8,0,9,27,0,0,9,22,19,1
8,11,7,0,7,22,0,0,9,18,14,1
14,23,12,1,7,25,1,1,15,26,24,3
10,14,6,0,4,13,0,0,5,15,10,1
13,20,11,0,5,22,0,0,14,24,17,0
22,29,14,0,9,28,0,0,8,16,18,2
12,16,10,0,8,26,0,0,18,48,19,5
13,15,6,0,10,19,0,0,10,35,12,2
17,20,11,0,6,22,0,0,8,19,21,0
11,18,5,0,12,29,0,0,15,24,23,2
11,16,9,0,8,28,0,0,11,23,19,0
15,21,12,0,6,24,0,0,13,23,18,2
30,35,21,0,9,29,0,0,9,21,23,4
19,25,14,0,8,18,0,0,8,15,14,2
11,18,8,0,6,21,0,0,9,21,19,2
15,19,10,0,9,20,0,0,8,16,14,0
22,33,18,1,6,31,0,0,14,43,15,4
18,26,14,0,7,24,0,0,12,26,20,1
20,23,13,0,12,24,0,0,12,25,22,2
12,19,7,0,6,22,0,0,7,20,20,0
11,17,9,0,6,18,0,0,10,16,15,1
9,14,5,0,11,25,0,0,16,46,19,1
13,17,8,0,8,27,0,0,11,23,21,4
11,19,6,0,10,26,0,0,9,17,15,0
10,16,8,1,7,26,0,0,15,21,25,1
20,28,15,1,3,17,0,0,9,14,17,2
20,24,16,0,8,30,0,0,10,25,18,1
20,22,13,0,9,24,1,1,11,36,13,4
14,23,13,0,8,21,0,0,9,18,16,1
12,21,10,0,5,25,0,0,9,22,18,2
11,19,6,0,8,30,0,0,10,21,20,2
21,29,14,0,8,26,2,2,7,16,14,3
21,27,15,0,6,19,2,2,8,44,12,5
20,28,14,0,7,27,0,0,16,47,20,2
14,22,9,0,10,25,0,0,13,20,20,2
13,23,11,0,4,19,0,0,11,35,12,5
17,20,9,0,6,21,0,0,9,23,18,1
19,26,16,0,8,22,0,0,11,19,14,3
